Qtemplate,Param1Name,Parram1Val,Param2Name,Param2Val,Param3Name,Param3Val,Param4Name,Param4Val,Param4Name,Param4Val,Param4Name,Param4Val,Param4Name,Param4Val,Param4Name,Param4Val
clearDesign,__DESTDESIGN__,Shovel4,,,,,,,,,,,,,,
addBlankDesign,__DESTDESIGN__,Shovel4,,,,,,,,,,,,
cloneCIOpt,__SOURCEDESIGN__,AllComponentsUAM,__SOURCENAME__,Cylinder_Flip,__DESTDESIGN__,Shovel4,__DESTNAME__,front_right_cyl_flip,,,,,,,,
swap,__DESIGN__,Shovel4,__COMPONENT_INSTANCE__,front_right_cyl_flip,__NEW_COMPONENT__,Cyl_Flip,,,,,,,,,,
cloneCIOpt,__SOURCEDESIGN__,AllComponentsUAM,__SOURCENAME__,Motor,__DESTDESIGN__,Shovel4,__DESTNAME__,left_front_motor_fwd,,,,,,,,
swap,__DESIGN__,Shovel4,__COMPONENT_INSTANCE__,left_front_motor_fwd,__NEW_COMPONENT__,MAGiDRIVE150,,,,,,,,,,
cloneCIOpt,__SOURCEDESIGN__,AllComponentsUAM,__SOURCENAME__,Cylinder,__DESTDESIGN__,Shovel4,__DESTNAME__,front_left_cyl_2,,,,,,,,
swap,__DESIGN__,Shovel4,__COMPONENT_INSTANCE__,front_left_cyl_2,__NEW_COMPONENT__,PORTED_CYL,,,,,,,,,,
cloneCIOpt,__SOURCEDESIGN__,AllComponentsUAM,__SOURCENAME__,Motor,__DESTDESIGN__,Shovel4,__DESTNAME__,left_front_motor_1_vert,,,,,,,,
swap,__DESIGN__,Shovel4,__COMPONENT_INSTANCE__,left_front_motor_1_vert,__NEW_COMPONENT__,MAGiDRIVE150,,,,,,,,,,
cloneCIOpt,__SOURCEDESIGN__,AllComponentsUAM,__SOURCENAME__,Cylinder_Flip_Out,__DESTDESIGN__,Shovel4,__DESTNAME__,right_center_cyl_flip,,,,,,,,
swap,__DESIGN__,Shovel4,__COMPONENT_INSTANCE__,right_center_cyl_flip,__NEW_COMPONENT__,Cyl_Flip_Out,,,,,,,,,,
cloneCIOpt,__SOURCEDESIGN__,AllComponentsUAM,__SOURCENAME__,Propeller,__DESTDESIGN__,Shovel4,__DESTNAME__,right_front_prop_2_vert,,,,,,,,
swap,__DESIGN__,Shovel4,__COMPONENT_INSTANCE__,right_front_prop_2_vert,__NEW_COMPONENT__,62x5_2_3200_46_1150,,,,,,,,,,
